Postcode,Location,Company Name,Phone,URL,Category,County,Town/Area,Region,Number_of_branches,Root Domain,Email,Most Common Email,Emails,Advise_30d,url_30d,Advise URLs,Advertiser URLs,Advise_90d,url_90d
AL1,"Office 16, Redfern House, 105 Ashley Rd, St Albans AL1 5DE, United Kingdom",Alam & Alam Accountants,+44 1727 223979,https://alamandalam.co.uk/,Accounting firm,,St Albans,St Albans,1,alamandalam.co.uk,N/A,nurul.alam@alamandalam.co.uk,nurul.alam@alamandalam.co.uk,No,https://adstransparency.google.com/?region=GB&domain=alamandalam.co.uk&preset-date=Last+30+days,,,,
AL1,"120 London Rd, St Albans, AL1 1NX, United Kingdom",Alban Accounting Ltd,+44 7481 590398,https://albanaccountingltd.carrd.co/,Accounting firm,,St Albans,St Albans,1,albanaccountingltd.carrd.co,N/A,No emails found,No emails found,No,https://adstransparency.google.com/?region=GB&domain=albanaccountingltd.carrd.co&preset-date=Last+30+days,,,,
AL1,"258 Hatfield Rd, St Albans, AL1 4UN, United Kingdom",Blackwater Accountants and Tax Advisers,+44 1727 851574,http://www.blackwateraccountants.co.uk/,Accounting firm,,St Albans,St Albans,1,blackwateraccountants.co.uk,N/A,enquiries@blackwateraccountants.co.uk,"info@blackwateraccountants.co.uk, info@blackwateraccountants.co.uk, enquiries@blackwateraccountants.co.uk, enquiries@blackwateraccountants.co.uk, enquiries@blackwateraccountants.co.uk, enquiries@blackwateraccountants.co.uk, enquiries@blackwateraccountants.co.uk, enquiries@blackwateraccountants.co.uk",No,https://adstransparency.google.com/?region=GB&domain=blackwateraccountants.co.uk&preset-date=Last+30+days,,,,
AL1,"Faulkner House, Victoria St, St Albans AL1 3SE, United Kingdom",Chartered Accountants in St Albans - Rayner Essex LLP,+44 1727 833222,http://www.rayneressex.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb_website_button&utm_content=st-albans-branch,Accounting firm,,St Albans,St Albans,1,rayneressex.com,N/A,th@rayneressex.com,"th@rayneressex.com, info@rayneressex.com, th@rayneressex.com, fh@rayneressex.com, info@rayneressex.com, fh@rayneressex.com, th@rayneressex.com, info@rayneressex.com, th@rayneressex.com, fh@rayneressex.com, info@rayneressex.com, fh@rayneressex.com",No,https://adstransparency.google.com/?region=GB&domain=rayneressex.com&preset-date=Last+30+days,,,,
AL1,"2 Victoria Square, Victoria St, St Albans AL1 3TF, United Kingdom",Connected Accounting Ltd,+44 1727 537160,http://www.connectedaccounting.co.uk/,Accounting firm,,St Albans,St Albans,2,connectedaccounting.co.uk,N/A,office@connectedaccounting.co.uk,"office@connectedaccounting.co.uk, office@connectedaccounting.co.uk, office@connectedaccounting.co.uk, office@connectedaccounting.co.uk, office@connectedaccounting.co.uk, office@connectedaccounting.co.uk, office@connectedaccounting.co.uk",No,https://adstransparency.google.com/?region=GB&domain=connectedaccounting.co.uk&preset-date=Last+30+days,,,,
AL1,"65 London Rd, St Albans, AL1 1LJ, United Kingdom",Gilberts Chartered Accountants & Business Advisers,+44 1727 220880,https://gilberts.uk.com/,Accounting firm,,St Albans,St Albans,1,gilberts.uk.com,N/A,office@gilberts.uk.com,"office@gilberts.uk.com, office@gilberts.uk.com, office@gilberts.uk.com, office@gilberts.uk.com, office@gilberts.uk.com, office@gilberts.uk.com, office@gilberts.uk.com, office@gilberts.uk.com, office@gilberts.uk.com, office@gilberts.uk.com, office@gilberts.uk.com",No,https://adstransparency.google.com/?region=GB&domain=gilberts.uk.com&preset-date=Last+30+days,,,,
AL1,"Churchill House, 26-30 Upper Marlborough Rd, St Albans AL1 3UU, United Kingdom",Grant Thornton UK LLP,+44 20 7383 5100,http://grantthornton.co.uk/,Accounting firm,,St Albans,St Albans,1,grantthornton.co.uk,N/A,No emails found,No emails found,Yes,https://adstransparency.google.com/?region=GB&domain=grantthornton.co.uk&preset-date=Last+30+days,https://adstransparency.google.com/advertiser/AR04584178024206827521/creative/CR07898465782424666113?region=GB&preset-date=Last%2030%20days,/advertiser/AR04584178024206827521?region=GB&preset-date=Last%2030%20days,Yes,https://adstransparency.google.com/?region=GB&domain=grantthornton.co.uk&preset-date=Last+30+days
AL1,"Herts, 72 London Rd, St Albans AL1 1NS, United Kingdom",Mercer & Hole - Chartered Accountants in St Albans,+44 1727 869141,https://www.mercerhole.co.uk/contact/chartered-accountants-in-st-albans/,Accounting firm,,St Albans,St Albans,1,mercerhole.co.uk,N/A,london@mercerhole.co.uk,"london@mercerhole.co.uk, london@mercerhole.co.uk, stalbans@mercerhole.co.uk, stalbans@mercerhole.co.uk, rickmansworth@mercerhole.co.uk, rickmansworth@mercerhole.co.uk, miltonkeynes@mercerhole.co.uk, miltonkeynes@mercerhole.co.uk",No,https://adstransparency.google.com/?region=GB&domain=mercerhole.co.uk&preset-date=Last+30+days,,,,
AL1,"2nd Floor, 4 Beaconsfield Rd, St Albans AL1 3RD, United Kingdom",Moore Kingston Smith LLP Accountants & Business Advisers,+44 20 4582 1000,https://mooreks.co.uk/,Accounting firm,,St Albans,St Albans,2,mooreks.co.uk,N/A,pd@mks.co.uk,"media@mks.co.uk, BWabunoha@mooreks.co.uk, hweston@mooreks.co.uk, kstewart@mooreks.co.uk, cwarrilow@mooreks.co.uk, SophieWalker@mks.co.uk, CSiddall@mooreks.co.uk, mhamblin@mooreks.co.uk, pd@mks.co.uk, pd@mks.co.uk",Yes,https://adstransparency.google.com/?region=GB&domain=mooreks.co.uk&preset-date=Last+30+days,"https://adstransparency.google.com/advertiser/AR18363355084634456065/creative/CR05594148053536735233?region=GB&preset-date=Last%2030%20days, https://adstransparency.google.com/advertiser/AR18363355084634456065/creative/CR00439369811441483777?region=GB&preset-date=Last%2030%20days","/advertiser/AR18363355084634456065?region=GB&preset-date=Last%2030%20days, /advertiser/AR18363355084634456065?region=GB&preset-date=Last%2030%20days",Yes,https://adstransparency.google.com/?region=GB&domain=mooreks.co.uk&preset-date=Last+30+days
AL1,"45, 17 Holywell Hill, St Albans AL1 1DT, United Kingdom",NAS St Albans Accountants,+44 845 680 1817,http://www.nasaccountants.co.uk/,Accounting firm,,St Albans,St Albans,1,nasaccountants.co.uk,N/A,No emails found,No emails found,No,https://adstransparency.google.com/?region=GB&domain=nasaccountants.co.uk&preset-date=Last+30+days,,,,
